Industry,ESG Risk Score,Environment Risk Score,Social Risk Score,Governance Risk Score,2019 Performance,Market Cap,Latitude,Longitude
Advertising & Marketing Services,17.0,0.1,10.05,7.0,11.297732835,12750000000.0,40.7127753,-74.0059728
Advertising Agencies,15.5,0.0,8.0,7.5,-5.779826063,7335000000.0,48.8707225,2.3103659499999996
Aerospace & Defense,33.4,8.95,16.250000000000004,8.16,34.880579492399995,59824000000.0,41.78746500000001,-62.64598545
Agriculture,42.166666666666664,19.8,13.950000000000001,8.633333333333333,16.456348625666667,10925000000.0,39.372599400000006,-86.64893133333334
Airlines,29.75,10.049999999999999,13.725,5.8999999999999995,6.963886095750001,24375000000.0,35.289815375,-91.536383575
Airports & Air Services,18.0,2.0,9.0,6.0,6.404833837000001,16900000000.0,48.979952000000004,2.557211
Apparel Manufacturing,13.0,1.5,6.0,6.0,-3.3767492630000002,6260000000.0,39.64666345,-78.97837200000001
Application Software,18.710526315789473,1.0078947368421054,11.255263157894738,6.431578947368421,32.585171014631584,77386578947.36842,39.051552089473695,-97.19226261578946
Asset Management,23.833333333333332,1.9833333333333334,11.008333333333333,10.966666666666669,19.8567891005,22025000000.0,41.46101048333333,-67.23316145833333
Auto Parts,14.5,3.0,4.5,7.0,24.482200935,12750000000.0,47.316918,2.71962345
Autos,23.6,6.15,9.88,7.595000000000001,31.41403298885,21022000000.0,42.427388685000004,-69.866534405
Banks,26.5625,1.89375,13.024999999999999,11.528125000000001,24.6349438485,55943750000.0,38.206700296875,-76.38554277499999
Banksâ€”Diversified,33.0,2.0,17.0,13.0,-5.852417302999999,61700000000.0,40.4122794,-3.8887699000000002
Banks—Diversified,86.0,90.0,85.0,84.0,-21.03213242,14900000000.0,52.3666969,4.8945398
Banks—Regional,31.333333333333332,2.0,14.333333333333334,15.333333333333334,27.476883963333336,40400000000.0,48.856614,2.3522218999999995
Beverages - Alcoholic,21.0,6.5,8.600000000000001,6.1,6.982419782999999,24400000000.0,41.36089955,-91.19956520000001
Beverages - Non-Alcoholic,37.75,27.175,23.65,22.250000000000004,17.338421113,147750000000.0,32.024227525,-93.700519125
Beveragesâ€”Wineries & Distilleries,20.0,6.0,8.0,6.0,0.029594555,32200000000.0,38.252664700000004,-85.7584557
Beverages—Brewers,18.0,5.0,8.0,6.0,22.95336788,56300000000.0,52.3666969,4.8945398
Beverages—Wineries & Distilleries,16.0,3.5,6.0,6.0,15.2452112,62700000000.0,41.324126,-41.01863305
Biotechnology,26.0,0.15454545454545454,17.672727272727272,8.427272727272726,10.778726491545454,45657272727.27273,41.460512063636365,-76.7665403909091
Broadcasting,15.5,2.0,5.5,8.0,-1.929953919999999,17435000000.0,41.324126,-41.01863305
Brokers & Exchanges,23.333333333333332,1.4066666666666667,10.906666666666665,10.959999999999999,25.923330775333334,38681333333.333336,39.43990362666666,-83.48250636666667
Building Materials,28.375,15.0125,5.637499999999999,7.5375,47.4273905375,18685000000.0,40.787772425,-77.51122545000001
Business Services,19.533333333333335,1.4199999999999997,11.193333333333333,6.946666666666667,36.40053135113333,34197333333.333332,38.923190973333334,-79.29825546000002
Chemicals,30.0,14.46,7.6466666666666665,7.973333333333333,17.22106567753333,23178000000.0,38.24165008666667,-77.59212666
Communication Equipment,18.285714285714285,2.028571428571429,9.014285714285714,7.200000000000001,17.857113322285716,41741428571.42857,41.97022885714286,-91.29160147142856
Communication Services,21.307692307692307,3.3846153846153846,10.615384615384615,7.346153846153848,24.163323716615384,85469230769.23077,40.421943346153846,-86.7988916923077
Computer Hardware,17.72222222222222,3.25,7.877777777777776,6.644444444444444,30.443227141999998,95417222222.22223,40.371755838888895,-83.04838488333334
Conglomerates,28.666666666666668,5.866666666666667,13.4,9.5,17.327306684333333,85186666666.66667,41.471224533333334,-81.3946913
Consulting & Outsourcing,21.5,9.4,5.75,6.5,59.448103855,11350000000.0,47.20161775,-39.899521899999996
Consulting Services,16.0,0.0,10.0,7.0,30.674157300000005,11200000000.0,48.884831,2.26851
Consumer Packaged Goods,29.043478260869566,11.795652173913044,12.856521739130438,8.665217391304349,24.385743692869568,38752748043.478264,39.9766212826087,-85.33234201304349
Credit Services,21.22222222222222,0.12222222222222223,12.11111111111111,9.000000000000002,30.595342506222224,126264444444.44444,39.851738644444445,-87.70973605555555
Discount Stores,16.0,3.0,8.0,6.0,37.449953799999996,14400000000.0,45.512581899999994,-73.64683070000001
Drug Manufacturers,31.25,2.158333333333333,17.325,11.700000000000001,13.810664642916668,131623333333.33333,44.04048495,-61.1379765
Drug Manufacturers—Specialty & Generic,30.0,1.0,18.0,11.0,-29.99556934,5490000000.0,48.8396952,2.2399123
Education,15.5,0.2,9.45,5.65,100.93921293,24150000000.0,39.9041999,116.4073963
Employment Services,12.0,0.05,8.2,3.95,30.123888455,6290000000.0,40.245931150000004,-105.0440994
Engineering & Construction,36.57142857142857,13.985714285714284,20.271428571428572,17.97142857142857,19.504688738571424,8132857142.857142,38.935649242857146,-68.05485660000001
Entertainment,17.428571428571427,0.5428571428571429,7.7142857142857135,9.185714285714285,24.36120269085714,75811428571.42857,39.27288285714286,-85.35799338571428
Farm & Construction Machinery,24.0,4.666666666666667,12.4,6.866666666666667,17.268054243333335,46266666666.666664,39.1564916,-87.5830447
Financial Conglomerates,14.0,0.0,4.0,10.0,23.09907834,6550000000.0,40.7127753,-74.0059728
Food Distribution,17.0,3.0,7.0,7.0,41.876208899999995,9740000000.0,33.791638,-84.389488
Footwear & Accessories,12.0,1.0,5.0,7.0,42.17687075,70200000000.0,48.856614,2.3522218999999995
Forest Products,19.0,10.9,3.8,4.8,38.15187557,22400000000.0,47.6062095,-122.33207079999998
"Furnishings, Fixtures & Appliances",15.0,5.0,3.0,7.0,17.37588652,5970000000.0,45.774657,4.77867
Gold,33.0,14.0,12.0,6.0,30.87357569,43300000000.0,43.653226000000004,-79.3831843
Grocery Stores,18.5,4.0,8.75,5.75,7.30415155675,13610000000.0,48.028544950000004,-15.5198772
Health Care Plans,23.6,0.64,16.580000000000002,6.279999999999999,16.677693861799998,101340000000.0,40.71540514,-85.40702610000001
Health Care Providers,27.666666666666668,2.3000000000000003,16.166666666666668,9.299999999999999,29.217132886666665,23866666666.666668,38.667728399999994,-89.0518017
Homebuilding & Construction,21.4,7.42,8.5,5.540000000000001,44.048209724,15232000000.0,34.27668702,-82.83466941999998
Industrial Distribution,19.0,4.85,7.0,7.125,17.6002341525,12027500000.0,40.21411315,-84.327520275
Industrial Products,29.25925925925926,9.348148148148148,12.52962962962963,7.325925925925926,30.761253288185188,29179629629.62963,40.281195629629615,-84.35158907037038
Information Technology Services,16.333333333333332,0.6666666666666666,9.0,6.333333333333333,30.7658571,18316666666.666668,47.761329966666665,-22.999729033333335
Insurance,27.25,1.7,10.875,14.525,30.56712482525,20257500000.0,41.267367125,-77.07877902499999
Insurance - Life,22.0,1.3714285714285714,9.342857142857143,11.485714285714284,19.565550885285717,27737142857.142857,39.177331499999994,-80.9776833
Insurance - Property & Casualty,27.636363636363637,1.9909090909090907,10.29090909090909,15.463636363636363,21.574524733363635,25756363636.363636,41.01300914545455,-73.59478383636362
Insurance - Specialty,29.0,2.466666666666667,10.233333333333334,16.400000000000002,35.711738843333336,10403333333.333334,34.262310033333335,-85.5407355
Insuranceâ€”Diversified,13.0,1.0,1.0,12.0,0.327781715,557000000000.0,41.2565369,-95.93450340000001
Insuranceâ€”Property & Casualty,34.0,2.0,13.0,19.0,1.457619222,16300000000.0,43.653226000000004,-79.3831843
Insurance—Diversified,17.0,1.0,8.0,8.0,15.161413197999998,34600000000.0,46.391636549999994,-34.85263645
Insurance—Life,15.0,0.5,5.5,9.0,16.0489888065,12050000000.0,47.17915145,-35.60751705
Insurance—Reinsurance,17.0,1.0,8.0,9.0,44.75828354,39100000000.0,48.1351253,11.581980499999998
Lodging,19.0,7.0,7.0,5.0,12.50336836,10100000000.0,48.8245306,2.2743418999999996
Luxury Goods,11.0,1.0,4.0,6.0,44.88106650666666,116333333333.33333,48.856614,2.3522218999999995
Manufacturing - Apparel & Furniture,17.8,4.040000000000001,7.109999999999999,6.720000000000001,27.986393152700003,24813000000.0,40.127374059999994,-87.3293587
Medical Devices,30.714285714285715,3.557142857142857,16.228571428571428,10.885714285714286,33.14248278285715,65357142857.14286,41.090038128571415,-87.32164574285716
Medical Diagnostics & Research,24.8,2.4800000000000004,13.579999999999998,8.71,36.0285755947,39970000000.0,40.16566785999999,-75.52161191999998
Medical Distribution,17.25,2.5749999999999997,8.825,5.95,15.309898886500001,17725000000.0,38.4455855,-82.23429365
Medical Instruments & Equipment,24.166666666666668,2.6999999999999997,13.15,8.533333333333333,29.62118464,35333333333.333336,38.906304649999996,-85.76758418333334
Medical Instruments & Supplies,19.0,2.0,9.0,8.0,69.08986835,15000000000.0,43.2926781,5.567642500000001
Metals & Mining,29.666666666666668,13.47777777777778,9.255555555555555,6.8999999999999995,16.574087286666668,15978888888.88889,42.45658093333333,-104.13592846666667
Oil & Gas - Drilling,28.5,9.45,9.8,9.3,-3.0501323100000004,3675000000.0,41.675587300000004,-43.75387885
Oil & Gas - E&P,43.78947368421053,22.9,11.789473684210526,8.978947368421052,-6.931105098842107,14278789473.68421,35.26852182105263,-96.85068130526314
Oil & Gas - Integrated,35.6,19.419999999999998,8.36,7.8,8.378725550799999,116200000000.0,40.48565402,-108.48328502
Oil & Gas - Midstream,28.714285714285715,13.057142857142859,11.357142857142858,4.228571428571429,25.613889744714292,37817142857.14286,37.668387071428576,-100.89124637142858
Oil & Gas - Refining & Marketing,35.75,21.450000000000003,8.975,5.5,13.88422236925,30397500000.0,33.2513582,-93.57758774999999
Oil & Gas - Services,29.666666666666668,11.333333333333334,10.200000000000001,8.066666666666665,0.3171954626666669,24836666666.666668,29.7604267,-95.36980279999999
Oil & Gas E&P,29.666666666666668,14.0,7.666666666666667,7.666666666666667,-12.262915012999999,2743333333.3333335,51.0447331,-114.0718831
Oil & Gas Integrated,44.0,27.0,27.5,26.75,11.3301998035,111175000000.0,49.27212805,-23.24352945
Oil & Gas Midstream,44.0,39.0,38.0,60.0,-2.87660863,34300000000.0,32.7766642,-96.7969879
Online Media,25.22222222222222,3.322222222222223,12.377777777777778,9.31111111111111,32.565355868888894,307666666666.6667,39.59739956666667,-37.709803477777776
Packaged Foods,37.0,15.0,15.0,7.0,2.577188058,16800000000.0,45.5874727,-73.5970099
Packaging & Containers,19.857142857142858,13.22857142857143,2.2714285714285714,4.428571428571429,29.204143702857145,11655714285.714285,38.70529161428572,-85.4499799
Personal Services,15.0,0.0,10.0,5.0,14.33184302,8830000000.0,29.7604267,-95.36980279999999
Pollution & Treatment Controls,32.0,16.0,7.0,9.0,24.38324727,9920000000.0,50.8503396,4.3517103
REITs,16.485714285714284,4.582857142857142,5.6085714285714285,6.222857142857143,19.361309856714282,18998857142.857143,37.64953450285714,-92.95257760285715
REIT—Diversified,12.0,2.5,3.5,6.0,33.064936685,8365000000.0,48.97191975,4.22502875
REIT—Retail,18.0,5.0,6.0,6.0,12.43697479,8650000000.0,43.653226000000004,-79.3831843
Real Estate Services,19.6,3.0799999999999996,9.12,7.7,41.854075574,23352000000.0,38.817597420000006,-88.73042563999999
Restaurants,24.625,5.112500000000001,13.4,6.187499999999999,31.328769080625005,47062500000.0,39.4726052125,-91.6651067625
Retail - Apparel & Specialty,16.12,2.5480000000000005,8.144,5.428,19.58089692072,52331600000.0,39.20359341999999,-82.842813312
Retail - Defensive,19.875,3.6,10.0,6.2125,51.97013142974999,82480000000.0,36.745584775000005,-67.390588425
Semiconductor Equipment & Materials,13.0,4.0,3.0,6.0,92.25721785,113000000000.0,51.4176337,5.406020900000001
Semiconductors,22.571428571428573,8.514285714285714,6.752380952380953,7.333333333333333,62.03377580857142,57618571428.57143,38.655143357142855,-93.68477872380952
Software—Application,16.0,1.0,9.0,6.0,41.32111861,41000000000.0,48.787898999999996,2.190408
Specialty Chemicals,25.0,12.5,5.5,8.0,44.42402129,12865000000.0,49.905117849999996,4.11641505
Specialty Industrial Machinery,16.0,3.3333333333333335,5.333333333333333,7.666666666666667,34.58639035466667,26966666666.666668,47.87608066666667,1.923933
Specialty Retail,15.5,2.5,7.0,5.5,23.8091691215,7975000000.0,47.98045625,-37.3078801
Staffing & Employment Services,12.0,0.0,9.0,4.0,35.79446246,9640000000.0,52.338992600000005,4.9591888
Steel,38.25,15.825000000000001,14.775,7.75,-7.3209040165,9165000000.0,37.634655675,-82.5919631
Telecom Services,17.333333333333332,2.1666666666666665,8.0,7.333333333333333,0.9215608888333334,22808333333.333332,48.4275204,4.285724166666667
Tobacco Products,27.0,6.449999999999999,13.25,7.199999999999999,14.254702757499999,110350000000.0,39.126749950000004,-75.72101045
Transportation & Logistics,21.0,6.5699999999999985,10.010000000000002,4.550000000000001,25.6970190913,52050000000.0,39.68457316,-92.69935247999999
Travel & Leisure,22.0625,5.468750000000001,9.912499999999998,6.7437499999999995,21.207628318312498,22474375000.0,35.67783725,-91.42628710624999
Truck Manufacturing,35.0,8.2,17.3,9.6,38.4319216,26300000000.0,47.6101497,-122.2015159
Utilities - Independent Power Producers,31.5,11.65,12.2,7.85,40.2086989595,8990000000.0,37.0744678,-79.52835529999999
Utilities - Regulated,32.6,15.256666666666664,10.916666666666666,6.383333333333334,22.773311739266664,32565333333.333332,38.36467116999999,-85.64481157333333
Utilities—Diversified,34.0,15.5,11.0,8.0,21.280439185,26000000000.0,46.752688750000004,-30.6115084
Utilities—Renewable,85.0,82.0,86.0,90.0,34.96143959,10400000000.0,40.4167754,-3.7037902000000003
Waste Management,24.6,12.54,7.160000000000001,4.92,36.119662652,25814000000.0,39.611420980000005,-74.49319668000001
